banana,n.,香蕉
sweet,adj.,甜的
choice,n.,选择
apple,n.,苹果
wine,n.,葡萄酒；酒
blackboard,n.,黑板
meat,n.,肉
lamb,n.,羊羔肉
husband,n.,丈夫；老公
chicken,n.,鸡肉；鸡
tell,v.,告诉
truth,n.,真相；事实
either,adv.,也(不)
either,conj.,要么
tomato,n.,番茄；西红柿
potato,n.,土豆；马铃薯
cabbage,n.,卷心菜；包菜
pear,n.,梨
grape,n.,葡萄
country,n.,国家；乡下
pleasant,adj.,令人愉快的；舒适的
weather,n.,天气
spring,n.,春天
warm,adj.,温暖的
rain,n.,雨
rain,v.,下雨
sometimes,adv.,有时
summer,n.,夏天
autumn,n.,秋天
winter,n.,冬天
snow,n.,雪
snow,v.,下雪
January,n.,一月
February,n.,二月
March,n.,三月
April,n.,四月
May,n.,五月
June,n.,六月
July,n.,七月
August,n.,八月
September,n.,九月
October,n.,十月
November,n.,十一月
December,n.,十二月
England,n.,英国；英格兰
France,n.,法国
Russia,n.,俄罗斯
always,adv.,总是
north,n.,北方
east,n.,东方
wet,adj.,湿的
west,n.,西方
south,n.,南方
season,n.,季节
best,adj.,最好的
night,n.,夜晚
rise,v.,升起
early,adv.,早
early,adj.,早的
set,v.,落下(太阳)；设置
late,adv.,晚；迟
late,adj.,晚的；迟的
subject,n.,主题；科目
conversation,n.,对话；交谈
Australia,n.,澳大利亚
Canada,n.,加拿大
China,n.,中国
India,n.,印度
Japan,n.,日本
Turkey,n.,土耳其
live,v.,居住；生活
stay,v.,停留；待在
home,n.,家
housework,n.,家务
lunch,n.,午餐
afternoon,n.,下午
together,adv.,一起
evening,n.,晚上；傍晚
arrive,v.,到达
shop,n.,商店
shop,v.,购物
moment,n.,片刻；时刻
envelope,n.,信封
size,n.,尺寸；尺码
glue,n.,胶水
chalk,n.,粉笔
change,n.,零钱；变化
change,v.,改变；换
feel,v.,感觉
look,v.,看
call,v.,打电话；呼叫
doctor,n.,医生
telephone,n.,电话
remember,v.,记得
mouth,n.,嘴
bad,adj.,坏的；差的
cold,n.,感冒
headache,n.,头痛
dentist,n.,牙医
medicine,n.,药
temperature,n.,温度；体温
flu,n.,流感
better,adj.,更好的
yet,adv.,还；尚未
rich,adj.,富有的
food,n.,食物
remain,v.,保持；留下
play,v.,玩；比赛
match,n.,比赛；火柴
talk,v.,说话；交谈
library,n.,图书馆
drive,v.,驾驶
so,adv.,如此；所以
break,v.,打破
noise,n.,噪音
Dad,n.,爸爸
key,n.,钥匙
baby,n.,婴儿
hear,v.,听到
enjoy,v.,享受；喜欢
yourself,pron.,你自己
ourselves,pron.,我们自己
myself,pron.,我自己
themselves,pron.,他们自己
himself,pron.,他自己
absent,adj.,缺席的
Monday,n.,星期一
Tuesday,n.,星期二
Wednesday,n.,星期三
Thursday,n.,星期四
keep,v.,保持；保存
spend,v.,花费(时间/金钱)
weekend,n.,周末
Friday,n.,星期五
Saturday,n.,星期六
Sunday,n.,星期天
church,n.,教堂
year,n.,年
race,n.,比赛；种族
town,n.,城镇
crowd,n.,人群
stand,v.,站立
stand,n.,看台
just,adv.,刚刚；只是
finish,v.,完成
way,n.,方式；道路
awful,adj.,糟糕的；可怕的
time,n.,时间；次数
answer,v.,回答
answer,n.,答案
last,adj.,最后的；上一个
last,v.,持续
phone,n.,电话
phone,v.,打电话
again,adv.,再次；又
say,v.,说
week,n.,星期；周
London,n.,伦敦
smile,v.,微笑
smile,n.,微笑
understand,v.,理解；明白
speak,v.,说；讲
hand,n.,手
pocket,n.,口袋
phrase,n.,短语；词组
cut,v.,切；剪
go,v.,去
greet,v.,问候；打招呼
ago,adv.,…以前
buy,v.,买
pair,n.,一双；一对
fashion,n.,时尚
uncomfortable,adj.,不舒服的
wear,v.,穿；戴
appointment,n.,预约；约会
till,prep.,直到
list,n.,清单；列表
vegetable,n.,蔬菜
need,v.,需要
hope,v.,希望
hope,n.,希望
thing,n.,东西；事情
money,n.,钱
fruit,n.,水果
ready,adj.,准备好的
dinner,n.,晚餐
restaurant,n.,餐厅；餐馆
breakfast,n.,早餐
haircut,n.,理发
party,n.,派对；聚会
holiday,n.,假期
mess,n.,混乱；脏乱
pack,v.,打包
suitcase,n.,手提箱；行李箱
leave,v.,离开；留下
already,adv.,已经
Paris,n.,巴黎
cinema,n.,电影院
film,n.,电影
beautiful,adj.,美丽的
city,n.,城市
never,adv.,从不
ever,adv.,曾经
attendant,n.,服务员；侍者
bring,v.,带来
garage,n.,车库；汽车修理厂
repair,v.,修理
repair,n.,修理
try,v.,尝试
believe,v.,相信
may,v.,可以；可能
since,prep.,自从
why,adv.,为什么
sell,v.,卖
because,conj.,因为
retire,v.,退休
cost,v.,花费；成本为
cost,n.,成本；价格
pound,n.,英镑；磅
worth,adj.,值得
penny,n.,便士；分
still,adv.,仍然；还
move,v.,移动；搬家
miss,v.,想念；错过
person,n.,人
people,n.,人们
poor,adj.,贫穷的；可怜的
return,v.,返回；归还
return,n.,返回；回程
train,n.,火车
plenty,n.,大量；充足
station,n.,车站；站
catch,v.,赶上；抓住
miss,v.,错过；想念
describe,v.,描述
address,n.,地址
belong,v.,属于
fall,v.,跌倒
hurt,v.,弄伤；疼痛
back,n.,背部
back,adv.,向后
help,v.,帮助
help,n.,帮助
sure,adj.,确信的
X-ray,n.,X光
card,n.,卡片
association,n.,协会
soon,adv.,很快
write,v.,写
exam,n.,考试
pass,v.,通过；及格
question,n.,问题
easy,adj.,容易的
enough,adv.,足够地
enough,adj.,足够的
paper,n.,纸；试卷
fail,v.,失败；不及格
mark,n.,分数；标记
mark,v.,标记
rest,n.,休息；剩余部分
rest,v.,休息
difficult,adj.,困难的
hate,v.,讨厌；憎恨
low,adj.,低的
cheer,v.,欢呼；加油
guy,n.,家伙；男人
top,n.,顶部
top,adj.,顶级的
clever,adj.,聪明的
stupid,adj.,笨的
cheap,adj.,便宜的
expensive,adj.,昂贵的
loud,adj.,大声的
high,adj.,高的
soft,adj.,软的
sour,adj.,酸的
spell,v.,拼写
mistake,n.,错误
present,n.,礼物；现在
present,adj.,出席的
present,v.,呈现；授予
dictionary,n.,词典；字典
carry,v.,携带；搬运
correct,adj.,正确的
correct,v.,改正
madam,n.,女士；夫人
pretty,adj.,漂亮的
idea,n.,主意；想法
less,adv.,更少
pity,n.,遗憾；可惜
instead,adv.,反而；代替
advice,n.,建议
most,adv.,最
least,adv.,最少
worse,adj.,更差的
worst,adj.,最差的
model,n.,模型；模特
afford,v.,负担得起
price,n.,价格
change,n.,零钱
note,n.,纸币；笔记
passenger,n.,乘客
none,pron.,没有一个
neither,pron.,两者都不
except,prep.,除了
anyone,pron.,任何人
knock,v.,敲
everything,pron.,每件事；所有东西
quiet,adj.,安静的
impossible,adj.,不可能的
invite,v.,邀请
anything,pron.,任何东西；任何事
nothing,pron.,没有东西；没事
joke,n.,笑话
asleep,adj.,睡着的
coin,n.,硬币
later,adv.,稍后
toilet,n.,厕所；洗手间
ring,v.,按铃；打电话
ring,n.,戒指
story,n.,故事
happen,v.,发生
thief,n.,小偷
enter,v.,进入
dark,adj.,黑暗的
voice,n.,声音
parrot,n.,鹦鹉
forget,v.,忘记
serve,v.,服务；招待
road,n.,路
during,prep.,在…期间
trip,n.,旅行
travel,v.,旅行
offer,v.,提供
offer,n.,提议
job,n.,工作
guess,v.,猜
grow,v.,生长；种植
beard,n.,胡须
water,v.,浇水
dry,adj.,干的
mean,v.,意思是
mean,adj.,刻薄的
surprise,n.,惊喜；惊讶
surprise,v.,使惊讶
immediately,adv.,立刻；马上
famous,adj.,著名的
read,v.,阅读
wave,v.,挥手
wave,n.,波浪
mile,n.,英里
dream,n.,梦
dream,v.,做梦
sign,n.,标志；信号
sign,v.,签名
abroad,adv.,在国外
worry,v.,担心
future,n.,未来
hotel,n.,酒店；旅馆
latest,adj.,最新的
introduce,v.,介绍
football,n.,足球
pool,n.,赌注；水池
win,v.,赢
world,n.,世界
depend,v.,依靠；取决于
extra,adj.,额外的
overseas,adv.,海外
overseas,adj.,海外的
company,n.,公司
line,n.,线路；航线；排队
opposite,prep.,在…对面
opposite,adj.,相反的
funny,adj.,有趣的；好笑的
ugly,adj.,丑的
embarrassed,adj.,尴尬的
wood,n.,树林；木头
hundred,n.,百
through,prep.,穿过
tidy,adj.,整洁的
tidy,v.,收拾
place,n.,地方
place,v.,放置
throw,v.,扔；抛
rubbish,n.,垃圾
count,v.,数数
cover,v.,覆盖
cover,n.,盖子；封面
piece,n.,一块；一片
among,prep.,在…之中
private,adj.,私人的；私下的
theatre,n.,剧院；电影院
seat,n.,座位
play,n.,戏剧；话剧
play,v.,玩；播放
angry,adj.,生气的
attention,n.,注意力
bear,v.,忍受
business,n.,生意；事情
until,prep.,直到
outside,adv.,在外面
outside,prep.,在…外面
ring,n.,戒指；铃声
aunt,n.,阿姨；姑姑
repeat,v.,重复
postcard,n.,明信片
museum,n.,博物馆
public,adj.,公共的；公众的
waiter,n.,服务员
lend,v.,借出
whole,adj.,整个的
single,adj.,单一的；单身的
receive,v.,收到
firm,n.,公司
firm,adj.,坚固的；坚定的
centre,n.,中心
message,n.,信息；消息
distance,n.,距离
service,n.,服务
call,n.,电话；呼叫
airport,n.,机场
expect,v.,期望；预料
steal,v.,偷
main,adj.,主要的
guard,n.,守卫；警卫
guard,v.,守卫
stone,n.,石头
sand,n.,沙子
competition,n.,比赛；竞争
path,n.,小路；路径
pool,n.,水池；游泳池
welcome,int.,欢迎
welcome,v.,欢迎
shout,v.,喊叫
refuse,v.,拒绝
